Estimated_Claim_Amount,Fraud_Flag,Litigation_Flag,Age_of_Driver,Vehicle_Age,Annual_Mileage,Driving_Experience_Years,Accident_Settlement_days,days_to_fnol,driver_risk_score,vehicle_risk,Claim_Type,Claim_Complexity,Region,Vehicle_Type,Status,Severity_Band,Gender,Occupation,ThirdParty_Role,TP_Injury_Severity
2355,1,0,22,20,5647,4,87,4,2,1,Weather,Low,Manchester,Sedan,settled,Minor,Male,Student,Unknown,No Injury
33566,1,0,28,0,13738,10,329,4,0,0,Collision,High,Liverpool,Hatchback,settled,Severe,Male,Employed,Unknown,No Injury
3371,0,0,46,8,8763,28,77,5,0,0,Weather,Low,Glasgow,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
1911,0,0,43,1,13273,22,57,3,0,0,Collision,Low,Newcastle,SUV,settled,Minor,Female,Employed,Unknown,No Injury
16615,0,0,55,17,16579,35,48,2,0,1,Fire,Low,Edinburgh,Sedan,settled,Minor,Female,Self-Employed,Unknown,No Injury
6085,0,0,79,0,12928,57,78,3,0,0,Collision,Medium,Cardiff,Hatchback,settled,Moderate,Female,Retired,Unknown,No Injury
2145,0,1,40,18,15429,18,33,0,0,1,Collision,Low,Cardiff,Sedan,settled,Minor,Male,Unemployed,Unknown,No Injury
1457,0,1,23,12,18661,1,75,0,2,1,Collision,Low,Glasgow,Sedan,settled,Minor,Male,Unemployed,Unknown,No Injury
3131,0,0,38,7,5515,20,140,7,0,0,Weather,Medium,Edinburgh,Motorcycle,settled,Minor,Female,Employed,Unknown,No Injury
19103,0,0,77,17,8842,59,174,3,0,1,Collision,Medium,Glasgow,Sedan,settled,Major,Female,Retired,Unknown,No Injury
3170,0,0,76,11,8490,54,84,1,0,1,Collision,Low,Bristol,Hatchback,settled,Minor,Female,Retired,Passenger,Serious
1819,0,0,71,11,15064,50,89,0,0,1,Weather,Low,Cardiff,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
2418,0,0,18,18,14099,0,38,0,2,1,Weather,Low,Manchester,Sedan,settled,Minor,Male,Employed,Driver,Minor
7212,0,1,23,18,11117,2,63,0,2,1,Collision,Low,Manchester,Van,settled,Major,Female,Employed,Pedestrian,Serious
1783,0,0,28,18,11242,7,80,0,0,1,Collision,Low,Birmingham,Coupe,settled,Minor,Female,Self-Employed,Driver,Minor
119103,0,0,18,9,17936,0,175,1,2,0,Collision,Medium,Glasgow,Sedan,settled,Catastrophic,Male,Employed,Unknown,No Injury
32199,0,0,60,18,10926,39,112,6,0,1,Collision,Medium,Birmingham,Sedan,settled,Severe,Male,Retired,Driver,Serious
5011,0,0,70,20,13767,49,86,0,0,1,Collision,Low,Newcastle,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
9575,0,0,19,9,8944,1,169,2,2,0,Vandalism,Medium,Glasgow,SUV,settled,Major,Male,Student,Unknown,No Injury
16915,0,0,23,4,7555,4,37,3,2,0,Fire,Low,Edinburgh,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
2100,0,0,42,18,13141,24,73,0,0,1,Collision,Medium,Birmingham,Hatchback,settled,Minor,Female,Unemployed,Unknown,No Injury
53245,0,0,44,18,5810,26,71,0,0,1,Fire,Low,Newcastle,SUV,settled,Moderate,Male,Unemployed,Unknown,No Injury
22887,0,0,78,3,14579,60,152,5,0,0,Collision,Medium,Newcastle,Hatchback,settled,Severe,Male,Retired,Driver,Minor
4271,0,0,41,15,8226,23,104,1,0,1,Other,Medium,Glasgow,Hatchback,settled,Moderate,Female,Self-Employed,Passenger,Serious
97877,0,0,32,11,10664,13,135,0,0,1,Collision,High,London,SUV,open,Catastrophic,Female,Self-Employed,Unknown,No Injury
53941,0,0,50,12,13631,30,73,2,0,1,Weather,Low,Leeds,Hatchback,settled,Severe,Male,Employed,Passenger,Minor
2673,1,0,44,12,13347,22,57,5,0,1,Collision,Low,Bristol,Van,settled,Moderate,Female,Unemployed,Unknown,No Injury
21570,0,0,36,4,4909,15,56,7,0,0,Theft,Low,Leeds,SUV,settled,Major,Male,Self-Employed,Unknown,No Injury
2620,0,0,23,4,7555,4,80,5,2,0,Collision,Low,Edinburgh,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
78747,0,0,61,10,10934,43,204,4,0,0,Theft,Medium,Birmingham,SUV,settled,Severe,Male,Retired,Unknown,No Injury
1778,0,0,40,12,20035,21,-454,0,0,1,Collision,Low,Manchester,SUV,open,Minor,Male,Employed,Unknown,No Injury
2606,0,0,77,20,6295,59,47,6,0,1,Weather,Low,Cardiff,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
11166,0,0,67,9,15756,47,130,0,0,0,Collision,Medium,Newcastle,SUV,settled,Major,Female,Retired,Unknown,No Injury
2822,0,0,33,7,13546,12,350,0,0,0,Collision,High,Edinburgh,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
13154,0,0,57,18,4914,39,53,0,0,1,Collision,Low,Glasgow,SUV,settled,Major,Male,Retired,Unknown,No Injury
3126,0,0,56,12,11383,37,87,2,0,1,Weather,Low,Edinburgh,Sedan,settled,Minor,Female,Unemployed,Unknown,No Injury
1680,0,1,25,10,18787,6,86,0,0,0,Collision,Low,Birmingham,Hatchback,settled,Minor,Male,Student,Pedestrian,Minor
1451,0,0,70,20,17021,52,86,5,0,1,Collision,Medium,Cardiff,Hatchback,settled,Minor,Male,Retired,Passenger,Minor
11927,0,0,52,13,10896,31,46,0,0,1,Weather,Low,Manchester,SUV,settled,Moderate,Female,Self-Employed,Unknown,No Injury
3964,0,0,64,17,12087,46,61,0,0,1,Collision,Low,Glasgow,SUV,settled,Moderate,Male,Retired,Unknown,No Injury
1959,0,0,45,1,15597,27,39,3,0,0,Collision,Low,Birmingham,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
6216,0,0,41,11,13380,21,385,1,0,1,Weather,Low,Bristol,Hatchback,open,Moderate,Female,Self-Employed,Unknown,No Injury
4947,0,0,41,1,12474,20,507,0,0,0,Collision,High,Cardiff,Coupe,settled,Moderate,Female,Self-Employed,Passenger,Minor
4158,1,0,23,1,17160,5,41,2,1,0,Collision,Low,Newcastle,Hatchback,settled,Moderate,Male,Employed,Passenger,Minor
20386,0,1,50,17,14807,32,80,0,0,1,Collision,Low,Birmingham,Hatchback,settled,Severe,Female,Employed,Pedestrian,Minor
1761,0,0,36,4,14617,15,75,0,0,0,Other,Low,Leeds,SUV,settled,Minor,Female,Employed,Pedestrian,Minor
1831,0,0,36,17,12334,15,37,1,0,1,Weather,Low,Birmingham,Sedan,settled,Minor,Female,Self-Employed,Unknown,No Injury
18312,0,0,34,13,20922,14,186,2,0,1,Collision,Medium,Newcastle,Hatchback,settled,Major,Male,Unemployed,Pedestrian,Minor
17797,1,0,23,3,2849,3,199,0,2,0,Vandalism,Medium,Edinburgh,Sedan,settled,Severe,Male,Employed,Unknown,No Injury
17406,0,0,51,6,14138,29,520,1,0,0,Collision,High,London,Sedan,settled,Major,Male,Self-Employed,Pedestrian,Minor
2146,0,0,58,16,8927,37,83,0,0,1,Collision,Low,Glasgow,Coupe,settled,Minor,Female,Retired,Pedestrian,Minor
1161,0,0,39,16,9452,19,63,4,0,1,Collision,Low,Cardiff,SUV,settled,Minor,Male,Self-Employed,Unknown,No Injury
3689,0,0,37,12,13525,15,121,3,0,1,Collision,Medium,Liverpool,Motorcycle,settled,Moderate,Male,Employed,Unknown,No Injury
1736,0,0,35,4,10099,16,53,7,0,0,Vandalism,Low,Birmingham,Motorcycle,settled,Minor,Male,Employed,Unknown,No Injury
15826,0,0,47,13,15570,29,793,3,0,1,Collision,High,Glasgow,Hatchback,open,Major,Female,Employed,Unknown,No Injury
171381,0,0,46,10,13820,26,299,1,0,0,Collision,High,Glasgow,Hatchback,settled,Catastrophic,Male,Self-Employed,Unknown,No Injury
7334,0,0,60,0,13765,42,53,1,0,0,Fire,Low,Glasgow,SUV,settled,Minor,Male,Self-Employed,Unknown,No Injury
2398,1,0,26,6,15075,6,88,1,0,0,Weather,Low,Liverpool,Hatchback,settled,Minor,Male,Unemployed,Unknown,No Injury
1550,0,0,33,0,19064,14,84,3,0,0,Collision,Low,Newcastle,Van,settled,Minor,Male,Employed,Unknown,No Injury
2127,0,1,47,0,11735,25,56,2,0,0,Other,Low,Manchester,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1828,0,0,59,4,6581,38,86,0,0,0,Other,Low,Edinburgh,Coupe,settled,Minor,Male,Employed,Pedestrian,Minor
5018,0,0,66,13,10089,44,208,1,0,1,Collision,High,London,Coupe,settled,Moderate,Female,Unemployed,Unknown,No Injury
15538,0,0,29,19,6130,10,42,0,0,1,Theft,Low,Birmingham,Sedan,settled,Major,Female,Employed,Passenger,Minor
3570,0,0,39,14,13101,17,83,0,0,1,Weather,Low,Liverpool,Sedan,settled,Minor,Female,Student,Unknown,No Injury
37610,0,0,25,4,18350,3,170,3,1,0,Collision,Medium,Liverpool,SUV,settled,Severe,Male,Unemployed,Pedestrian,Serious
49653,0,0,74,3,7475,55,148,0,0,0,Collision,Medium,Cardiff,Hatchback,settled,Severe,Male,Retired,Unknown,No Injury
4148,0,0,50,11,12350,30,50,3,0,1,Collision,Low,Bristol,Sedan,settled,Moderate,Male,Unemployed,Unknown,No Injury
3911,0,0,74,20,15590,55,88,0,0,1,Theft,Low,Leeds,Motorcycle,settled,Minor,Male,Retired,Unknown,No Injury
4284,0,0,67,0,9544,48,79,3,0,0,Theft,Low,Liverpool,Sedan,settled,Minor,Female,Retired,Passenger,Minor
2519,0,0,46,16,18019,27,77,4,0,1,Collision,Low,Liverpool,Coupe,settled,Minor,Male,Self-Employed,Pedestrian,Minor
3176,0,0,79,4,16188,60,69,1,0,0,Weather,Low,London,Van,settled,Minor,Female,Retired,Pedestrian,Minor
719,0,0,43,3,13496,24,72,0,0,0,Vandalism,Low,Birmingham,Coupe,settled,Minor,Female,Employed,Unknown,No Injury
1757,0,0,48,15,12600,30,61,6,0,1,Collision,Low,Newcastle,SUV,settled,Minor,Male,Employed,Unknown,No Injury
1864,0,0,40,20,10666,21,1004,1,0,1,Collision,Low,Manchester,SUV,open,Minor,Male,Unemployed,Unknown,No Injury
1269,0,0,61,0,21801,43,86,1,0,0,Collision,Low,Glasgow,Hatchback,settled,Minor,Male,Employed,Driver,Minor
7894,1,0,74,13,11417,52,61,3,0,1,Weather,Low,Liverpool,Hatchback,settled,Moderate,Male,Retired,Unknown,No Injury
3904,0,0,66,10,5923,45,39,0,0,0,Theft,Low,Leeds,SUV,settled,Minor,Female,Retired,Unknown,No Injury
138567,0,0,73,8,5990,53,503,3,0,0,Collision,High,Cardiff,SUV,settled,Catastrophic,Female,Retired,Unknown,No Injury
1137,0,1,71,2,7557,51,53,0,0,0,Collision,Low,Bristol,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
4655,0,1,23,4,15609,2,-111,2,2,0,Collision,Medium,Birmingham,Hatchback,open,Moderate,Female,Employed,Unknown,No Injury
21877,0,0,69,16,8570,48,86,0,0,1,Fire,Low,Birmingham,SUV,settled,Minor,Male,Retired,Unknown,No Injury
9667,0,0,40,12,20035,21,106,1,0,1,Collision,Low,Manchester,SUV,settled,Major,Male,Employed,Unknown,No Injury
12209,0,0,75,6,13191,53,47,2,0,0,Theft,Low,London,Van,settled,Moderate,Male,Retired,Driver,Minor
12126,0,0,51,6,14138,29,52,4,0,0,Theft,Low,London,Sedan,settled,Moderate,Male,Self-Employed,Passenger,Minor
2076,0,0,35,20,5213,17,39,1,0,1,Collision,Low,Leeds,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1800,0,0,39,3,12346,19,77,2,0,0,Collision,Low,Birmingham,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
2326,0,0,32,18,9372,10,54,2,0,1,Collision,Low,Bristol,Van,settled,Minor,Female,Employed,Unknown,No Injury
1768,0,0,34,7,17045,14,73,2,0,0,Collision,Low,London,Sedan,settled,Minor,Female,Employed,Passenger,Minor
139442,0,0,51,12,10302,29,74,0,0,1,Collision,Low,Manchester,Sedan,settled,Catastrophic,Female,Self-Employed,Unknown,No Injury
77459,0,0,22,6,16849,2,79,0,2,0,Fire,Medium,Liverpool,Van,settled,Major,Male,Student,Unknown,No Injury
5149,0,0,22,20,9911,2,37,0,2,1,Collision,Low,Cardiff,Hatchback,settled,Moderate,Male,Employed,Unknown,No Injury
4729,0,0,30,1,13915,12,91,5,0,0,Weather,Low,Manchester,Sedan,settled,Moderate,Male,Student,Unknown,No Injury
15229,0,0,31,18,17714,10,177,0,0,1,Weather,Medium,Leeds,Sedan,settled,Major,Male,Employed,Unknown,No Injury
22749,0,0,57,19,10715,37,108,2,0,1,Theft,Medium,Birmingham,Hatchback,settled,Major,Female,Employed,Passenger,Minor
1937,0,1,52,13,12402,31,93,4,0,1,Collision,Low,Liverpool,Coupe,settled,Minor,Male,Employed,Passenger,Minor
6210,0,0,65,3,15314,45,-194,6,0,0,Collision,Low,Manchester,Coupe,open,Moderate,Male,Retired,Passenger,Minor
2637,0,0,53,2,18979,35,79,2,0,0,Collision,Low,Leeds,SUV,settled,Minor,Female,Self-Employed,Unknown,No Injury
1913,0,0,65,3,8714,46,50,5,0,0,Collision,Low,Manchester,Sedan,settled,Minor,Female,Retired,Unknown,No Injury
2608,0,0,44,17,8843,26,89,1,0,1,Other,Low,Manchester,SUV,settled,Minor,Female,Employed,Unknown,No Injury
15611,0,0,49,13,11281,28,73,3,0,1,Fire,Low,Liverpool,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
7276,0,1,59,3,6256,40,282,0,0,0,Collision,High,Liverpool,Coupe,settled,Major,Female,Unemployed,Unknown,No Injury
1218,0,0,63,18,19641,44,66,0,0,1,Vandalism,Low,Birmingham,Hatchback,settled,Minor,Male,Self-Employed,Pedestrian,Minor
11256,0,0,24,18,12123,3,159,0,2,1,Weather,Medium,Newcastle,Hatchback,settled,Moderate,Male,Employed,Passenger,Minor
30623,0,0,72,14,4742,51,-962,0,0,1,Collision,Medium,Cardiff,SUV,open,Severe,Female,Retired,Unknown,No Injury
3292,0,0,61,8,14775,40,57,1,0,0,Vandalism,Low,Leeds,Hatchback,settled,Moderate,Female,Self-Employed,Pedestrian,Minor
2522,0,0,23,18,10641,3,79,0,2,1,Collision,Low,Cardiff,Coupe,settled,Minor,Male,Unemployed,Driver,Minor
6711,0,0,39,20,14333,17,174,0,0,1,Other,Medium,Birmingham,Hatchback,settled,Moderate,Male,Student,Unknown,No Injury
10760,0,0,35,17,9369,17,158,3,0,1,Collision,Medium,Edinburgh,Sedan,settled,Major,Female,Unemployed,Unknown,No Injury
2443,0,0,79,10,500,59,78,5,0,0,Weather,Low,Glasgow,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
12947,0,0,68,5,12092,48,85,0,0,0,Collision,Low,Liverpool,Sedan,settled,Major,Female,Retired,Unknown,No Injury
5392,0,1,78,16,15495,57,46,1,0,1,Collision,Low,Glasgow,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
2254,0,0,77,17,13698,57,73,1,0,1,Collision,Low,London,Coupe,settled,Minor,Female,Retired,Unknown,No Injury
7805,1,0,48,20,12655,28,103,0,0,1,Weather,Medium,Leeds,Sedan,settled,Moderate,Female,Self-Employed,Unknown,No Injury
1664,0,1,20,7,15964,1,57,1,2,0,Collision,Low,London,Sedan,settled,Minor,Male,Student,Pedestrian,Minor
5243,0,1,53,6,4891,34,73,0,0,0,Theft,Medium,Glasgow,Hatchback,settled,Minor,Female,Retired,Pedestrian,Minor
7731,0,0,27,14,13800,8,54,1,0,1,Weather,Low,Manchester,Sedan,settled,Moderate,Female,Employed,Passenger,Serious
4724,0,1,58,16,8927,37,96,0,0,1,Collision,Low,Glasgow,Coupe,settled,Moderate,Female,Retired,Unknown,No Injury
1641,0,0,56,17,15235,34,62,0,0,1,Collision,Low,Cardiff,Sedan,settled,Minor,Female,Self-Employed,Driver,Fatal
9756,0,0,19,13,11586,0,305,1,2,1,Collision,High,Newcastle,SUV,settled,Major,Female,Student,Unknown,No Injury
14318,0,0,31,18,17714,10,75,2,0,1,Collision,Medium,Leeds,Sedan,settled,Major,Male,Employed,Unknown,No Injury
37789,0,1,36,6,12775,14,42,0,0,0,Fire,Low,London,Sedan,settled,Moderate,Male,Employed,Driver,Minor
17402,1,0,79,6,12288,61,120,0,0,0,Collision,Medium,Leeds,Sedan,settled,Major,Male,Retired,Unknown,No Injury
68430,0,0,70,6,19601,52,90,0,0,0,Theft,Low,Glasgow,SUV,settled,Severe,Female,Retired,Unknown,No Injury
2787,0,0,56,8,12113,35,31,0,0,0,Collision,Low,Bristol,SUV,settled,Minor,Male,Employed,Unknown,No Injury
19133,0,1,18,2,19518,0,123,0,2,0,Weather,Medium,Birmingham,Hatchback,settled,Major,Female,Student,Unknown,No Injury
3198,0,0,26,6,9893,6,84,30,0,0,Weather,Low,Liverpool,Coupe,settled,Minor,Female,Self-Employed,Unknown,No Injury
11691,0,0,41,7,12756,19,-50,0,0,0,Theft,Low,Glasgow,Van,open,Moderate,Male,Employed,Unknown,No Injury
1579,0,0,35,2,11813,14,48,1,0,0,Collision,Low,Cardiff,SUV,settled,Minor,Female,Employed,Passenger,Minor
1805,0,0,23,3,2849,3,35,1,2,0,Collision,Low,Edinburgh,Sedan,settled,Minor,Male,Employed,Passenger,Minor
3053,0,0,19,9,8944,1,32,0,2,0,Collision,Low,Glasgow,SUV,settled,Minor,Male,Student,Driver,Minor
2768,0,0,42,20,16638,23,66,1,0,1,Weather,Low,Cardiff,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
15132,0,0,58,6,6284,38,55,3,0,0,Fire,Low,Glasgow,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
7701,0,0,24,2,8099,4,65,0,2,0,Collision,Low,Glasgow,Hatchback,settled,Moderate,Male,Employed,Unknown,No Injury
10784,1,0,21,11,15441,0,83,30,2,1,Fire,Low,Birmingham,Van,settled,Minor,Female,Student,Unknown,No Injury
2228,1,0,29,3,11016,8,89,0,0,0,Weather,Low,Bristol,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
7813,0,0,48,17,14777,26,45,0,0,1,Weather,Low,Manchester,SUV,settled,Moderate,Male,Self-Employed,Driver,Serious
2336,0,0,40,5,15645,19,111,1,0,0,Collision,Medium,Liverpool,SUV,settled,Minor,Female,Employed,Unknown,No Injury
5409,0,0,59,7,9444,39,92,2,0,0,Collision,Medium,Bristol,SUV,settled,Moderate,Male,Employed,Unknown,No Injury
1800,0,0,43,12,13731,24,78,0,0,1,Collision,Low,Cardiff,Coupe,settled,Minor,Female,Self-Employed,Unknown,No Injury
5223,0,0,36,7,12459,16,73,2,0,0,Collision,Medium,Cardiff,Sedan,settled,Moderate,Female,Unemployed,Unknown,No Injury
1686,0,1,42,18,6947,22,90,3,0,1,Collision,Low,Edinburgh,Motorcycle,settled,Minor,Female,Employed,Unknown,No Injury
4217,0,0,77,14,10068,58,66,0,0,1,Weather,Low,Glasgow,SUV,settled,Minor,Female,Retired,Unknown,No Injury
16312,0,1,41,5,13437,20,56,1,0,0,Fire,Low,Newcastle,SUV,settled,Minor,Male,Employed,Unknown,No Injury
2019,0,0,64,18,13371,46,51,0,0,1,Collision,Low,London,Hatchback,settled,Minor,Female,Self-Employed,Driver,Serious
100153,0,0,18,3,14164,0,669,0,2,0,Theft,Medium,Glasgow,Sedan,open,Severe,Female,Student,Passenger,Minor
1483,0,0,73,3,12572,53,45,0,0,0,Collision,Low,Birmingham,Motorcycle,settled,Minor,Female,Retired,Unknown,No Injury
6225,0,0,34,15,4870,14,53,0,0,1,Theft,Low,Glasgow,Hatchback,settled,Moderate,Female,Employed,Unknown,No Injury
7324,0,0,73,1,5686,52,179,5,0,0,Other,Medium,Leeds,SUV,settled,Moderate,Male,Retired,Unknown,No Injury
